comparison,profile_year,age_group,total_population,population,age_share,prevalence_per_100k,prevalence,cases,cases_million
Observed 1990 to 2023,1990,<20,5336096932.229507,2254795685.436257,0.42255523354860924,22956.97405233992,0.2295697405233992,517632860.4388816,517.6328604388816
Observed 1990 to 2023,1990,20-54,5336096932.229507,2407950046.1987476,0.45125680376137156,35482.453963658154,0.35482453963658156,854399766.6103559,854.3997666103559
Observed 1990 to 2023,1990,55+,5336096932.229507,673351200.594503,0.1261879626900192,33051.201031763485,0.33051201031763483,222550658.95828217,222.55065895828218
Observed 1990 to 2023,2023,<20,8065827257.720701,2670651217.0474467,0.3311069195650166,15684.739677027528,0.1568473967702753,418884691.07525945,418.88469107525947
Observed 1990 to 2023,2023,20-54,8065827257.720701,3813019710.0129185,0.47273758638496166,27129.43140409434,0.2712943140409434,1034450566.6525517,1034.4505666525517
Observed 1990 to 2023,2023,55+,8065827257.720701,1582156330.6603358,0.1961554940500217,26742.992596936183,0.2674299259693618,423115950.3804507,423.1159503804507
Projected 2024 to 2050,2024,<20,8127342610.5,2660288891,0.327325796203433,15796.22483898044,0.1579622483898044,420225214.58877933,420.22521458877935
Projected 2024 to 2050,2024,20-54,8127342610.5,3874005235,0.4766632121543684,27071.907365477167,0.27071907365477166,1048767108.552936,1048.767108552936
Projected 2024 to 2050,2024,55+,8127342610.5,1593048484.5,0.1960109916421986,25778.168177654392,0.2577816817765439,410658717.48598456,410.65871748598454
Projected 2024 to 2050,2050,<20,9632961164,2607342916.5,0.2706688911239547,15829.482320095787,0.15829482320095786,412728885.99163735,412.72888599163736
Projected 2024 to 2050,2050,20-54,9632961164,4389250463,0.4556491392702141,27128.029599398928,0.2712802959939893,1190717164.7943945,1190.7171647943944
Projected 2024 to 2050,2050,55+,9632961164,2636367784.5,0.2736819696058312,25605.134624850307,0.25605134624850306,675045520.4274085,675.0455204274084
