index,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,Label,Measure
Female,3,Full Range,1990,2023,0.45,0.39,0.51,1,14.302,0,***,"1990~2023
0.45(0.39~0.51)***",1990~2023,0.45 (0.39~0.51),Prevalence,Number
Female,3,1990.000-1999.000,1990,1999,0.99,0.93,1.06,1,30.498,0,***,"1990~1999
0.99(0.93~1.06)***",1990~1999,0.99 (0.93~1.06),Prevalence,Number
Female,3,1999.000-2019.000,1999,2019,0.26,0.17,0.36,1,5.652,0,***,"1999~2019
0.26(0.17~0.36)***",1999~2019,0.26 (0.17~0.36),Prevalence,Number
Female,3,2019.000-2023.000,2019,2023,0.14,0.06,0.21,1,3.56,0.002,**,"2019~2023
0.14(0.06~0.21)**",2019~2023,0.14 (0.06~0.21),Prevalence,Number
Female,3,1990.000-2019.000,1990,2019,0.49,0.42,0.56,1,14.335,0,***,"1990~2019
0.49(0.42~0.56)***",1990~2019,0.49 (0.42~0.56),Prevalence,Number
Female,3,1990.000-2023.000,1990,2023,0.45,0.39,0.51,1,14.302,0,***,"1990~2023
0.45(0.39~0.51)***",1990~2023,0.45 (0.39~0.51),Prevalence,Number
Male,3,Full Range,1990,2023,0.52,0.46,0.57,1,18.038,0,***,"1990~2023
0.52(0.46~0.57)***",1990~2023,0.52 (0.46~0.57),Prevalence,Number
Male,3,1990.000-1999.000,1990,1999,1.09,0.99,1.18,1,22.754,0,***,"1990~1999
1.09(0.99~1.18)***",1990~1999,1.09 (0.99~1.18),Prevalence,Number
Male,3,1999.000-2019.000,1999,2019,0.34,0.28,0.41,1,10.639,0,***,"1999~2019
0.34(0.28~0.41)***",1999~2019,0.34 (0.28~0.41),Prevalence,Number
Male,3,2019.000-2023.000,2019,2023,0.10,-0.06,0.27,0,1.294,0.208,,"2019~2023
0.10(-0.06~0.27)",2019~2023,0.10 (-0.06~0.27),Prevalence,Number
Male,3,1990.000-2019.000,1990,2019,0.57,0.52,0.63,1,20.149,0,***,"1990~2019
0.57(0.52~0.63)***",1990~2019,0.57 (0.52~0.63),Prevalence,Number
Male,3,1990.000-2023.000,1990,2023,0.52,0.46,0.57,1,18.038,0,***,"1990~2023
0.52(0.46~0.57)***",1990~2023,0.52 (0.46~0.57),Prevalence,Number
Female,3,Full Range,1990,2023,-0.95,-0.99,-0.90,1,-40.605,0,***,"1990~2023
-0.95(-0.99~-0.90)***",1990~2023,-0.95 (-0.99~-0.90),Prevalence,Rate
Female,3,1990.000-1999.000,1990,1999,-0.48,-0.53,-0.43,1,-19.647,0,***,"1990~1999
-0.48(-0.53~-0.43)***",1990~1999,-0.48 (-0.53~-0.43),Prevalence,Rate
Female,3,1999.000-2019.000,1999,2019,-1.13,-1.20,-1.06,1,-33.14,0,***,"1999~2019
-1.13(-1.20~-1.06)***",1999~2019,-1.13 (-1.20~-1.06),Prevalence,Rate
Female,3,2019.000-2023.000,2019,2023,-1.09,-1.18,-1.01,1,-26.277,0,***,"2019~2023
-1.09(-1.18~-1.01)***",2019~2023,-1.09 (-1.18~-1.01),Prevalence,Rate
Female,3,1990.000-2019.000,1990,2019,-0.93,-0.98,-0.88,1,-37.164,0,***,"1990~2019
-0.93(-0.98~-0.88)***",1990~2019,-0.93 (-0.98~-0.88),Prevalence,Rate
Female,3,1990.000-2023.000,1990,2023,-0.95,-0.99,-0.90,1,-40.605,0,***,"1990~2023
-0.95(-0.99~-0.90)***",1990~2023,-0.95 (-0.99~-0.90),Prevalence,Rate
Male,3,Full Range,1990,2023,-0.82,-0.90,-0.75,1,-21.381,0,***,"1990~2023
-0.82(-0.90~-0.75)***",1990~2023,-0.82 (-0.90~-0.75),Prevalence,Rate
Male,3,1990.000-1999.000,1990,1999,-0.38,-0.49,-0.26,1,-6.506,0,***,"1990~1999
-0.38(-0.49~-0.26)***",1990~1999,-0.38 (-0.49~-0.26),Prevalence,Rate
Male,3,1999.000-2019.000,1999,2019,-1.02,-1.13,-0.91,1,-18.436,0,***,"1999~2019
-1.02(-1.13~-0.91)***",1999~2019,-1.02 (-1.13~-0.91),Prevalence,Rate
Male,3,2019.000-2023.000,2019,2023,-0.85,-0.87,-0.82,1,-78.979,0,***,"2019~2023
-0.85(-0.87~-0.82)***",2019~2023,-0.85 (-0.87~-0.82),Prevalence,Rate
Male,3,1990.000-2019.000,1990,2019,-0.82,-0.91,-0.74,1,-18.811,0,***,"1990~2019
-0.82(-0.91~-0.74)***",1990~2019,-0.82 (-0.91~-0.74),Prevalence,Rate
Male,3,1990.000-2023.000,1990,2023,-0.82,-0.90,-0.75,1,-21.381,0,***,"1990~2023
-0.82(-0.90~-0.75)***",1990~2023,-0.82 (-0.90~-0.75),Prevalence,Rate
